CUSTOMER_TRX_ID,BILL_TO_CUSTOMER_ID,TRX_NUMBER,TRX_DATE,DUE_DATE,INVOICE_CURRENCY_CODE,ORIGINAL_AMOUNT,AMOUNT_DUE_REMAINING,TRX_STATUS,TEST_SCENARIO
ORA-I018-02,ORA-C018,INV-201802,2026-04-05,2026-06-04,USD,5108.78,5108.78,OPEN,PARTIAL
ORA-I018-03,ORA-C018,INV-201803,2026-04-19,2026-06-18,USD,5440.31,5440.31,OPEN,OVERPAYMENT
ORA-I018-04,ORA-C018,INV-201804,2026-04-24,2026-06-23,USD,5386.21,5386.21,OPEN,ONE_PAYMENT_MULTI_INVOICE
ORA-I018-05,ORA-C018,INV-201805,2026-05-03,2026-07-02,USD,5760.68,5760.68,OPEN,MULTI_PAYMENT_ONE_INVOICE
ORA-I018-06,ORA-C018,INV-201806,2026-05-16,2026-07-15,USD,5725.95,5725.95,OPEN,MISSING_REMITTANCE
ORA-I018-07,ORA-C018,INV-201807,2026-05-21,2026-07-20,EUR,6311.0,6311.0,OPEN,CURRENCY_TOLERANCE
ORA-I018-08,ORA-C018,INV-201808,2026-06-04,2026-08-03,USD,6566.26,6566.26,OPEN,SHORT_PAY_DEDUCTION
ORA-I018-09,ORA-C018,INV-201809,2026-06-09,2026-08-08,USD,6757.92,6757.92,OPEN,UNMATCHED_CASH
ORA-I018-10,ORA-C018,INV-201810,2026-06-16,2026-08-15,USD,6722.09,6722.09,OPEN,OPEN_PAST_DUE
ORA-I018-11,ORA-C018,INV-201811,2026-06-25,2026-08-24,USD,7020.18,7020.18,OPEN,BROKEN_PROMISE
ORA-I018-12,ORA-C018,INV-201812,2026-07-05,2026-09-03,USD,7458.37,7458.37,OPEN,EXACT
